resume_index,job_1_match_score,job_2_match_score,job_3_match_score
0,"('Faculty  Accommodation Operation(H.K.)', np.float64(0.7860009095273323))","('Captain', np.float64(0.7791812721933822))","('Team Member - Culinary (Kitchen Staff)', np.float64(0.7594060701329539))"
1,"('Distinguished Engineer, Trilogy (Remote) - $800,000/year USD', np.float64(0.7644766050730796))","('Distinguished Engineer, Trilogy (Remote) - $800,000/year USD', np.float64(0.7644766050730796))","('Software Engineer - Python', np.float64(0.7399225124766136))"
2,"('Embedded Engineer', np.float64(0.8982452963502695))","('Automation Testing', np.float64(0.8956620905504512))","('Security Operations Center Analyst (Trainee)', np.float64(0.8938192886441865))"
3,"('Acoustics Engineer - Building Science', np.float64(0.9657541974247765))","('Data Engineer', np.float64(0.8966013550758362))","('Data Engineer', np.float64(0.8966013550758362))"
4,"('Intern', np.float64(0.7869852709326706))","('Volunteers', np.float64(0.7250795689691738))","('Looking for Mentors/Faculty - Part time', np.float64(0.7212024541343272))"
5,"('Adobe Campaign Developer - for US based Banking project', np.float64(0.9160404468688137))","('Sales and BD- Influencer Marketing', np.float64(0.8999638848982668))","('Marketing Specialist', np.float64(0.8917520215004018))"
6,"('Manager, Business Analyst for Emerging Markets', np.float64(0.9773570753565317))","('Manager - Business Analyst (Emerging Markets)', np.float64(0.9730747242175987))","('Manager - Business Analyst (Emerging Markets)', np.float64(0.9730747242175987))"
7,"('Virtualization Engineer', np.float64(0.9774256866171257))","('Operations Engineer cloud service', np.float64(0.9334498138066809))","('Lead Digitization Expert (Manufacturing IT )', np.float64(0.9325486670789503))"
8,"('ForgeRock Engineer', np.float64(0.9551116245889211))","('Bde', np.float64(0.9537498850805142))","('Bde', np.float64(0.9537498850805142))"
9,"('Sales and Marketing Management Trainee', np.float64(0.9735564605334899))","('Sales Manager', np.float64(0.971187840382758))","('Sales Executive', np.float64(0.9546197964349055))"
10,"('Ping Directory', np.float64(0.8786925548905083))","('Vue.js', np.float64(0.8677081969761372))","('Senior Manager - Finance and Accounts', np.float64(0.8671798966658792))"
11,"('Acoustics Engineer - Building Science', np.float64(0.8649157594557035))","('Data Processing Coordinator', np.float64(0.8452841063726657))","('Data Labeler', np.float64(0.8369575073848252))"
12,"('Cockpit Artificial Intelligence – Application Software Engineer', np.float64(0.9516638148639163))","('Embedded Engineer', np.float64(0.9145189263564918))","('Urgent Requirement For CRM Technical Consultant  in MNC', np.float64(0.9108246486125829))"
13,"('Senior Product Marketer', np.float64(0.8988788517330545))","('Smart Contract Engineer', np.float64(0.8885666353027284))","('Smart Contract Engineer', np.float64(0.8885666353027284))"
14,"('German Interpreter', np.float64(0.9110388811483229))","('Appian BPM Developers', np.float64(0.8793789067610027))","('Appian BPM Developers', np.float64(0.8793789067610027))"
15,"('Associate Medical Data Review Manager', np.float64(0.9712633912241465))","('UAE IT recruiter', np.float64(0.9699950419803186))","('Mainframe Developer', np.float64(0.9626254678123203))"
16,"('BCM Embedded Developer', np.float64(0.9413939172997878))","('BCM Embedded Developer', np.float64(0.9413939172997878))","('Network Analyst', np.float64(0.9347699088824448))"
17,"('Sales Consultant | Bangalore | Freshers | Grads', np.float64(0.9260738440278985))","('Ruby on Rails Developer', np.float64(0.9124810812284257))","('Ruby on Rails Developer', np.float64(0.9124810812284257))"
18,"('Business Development Specialist', np.float64(0.9658500335287759))","('Senior Recruitment Adviser supporting University of Lincoln', np.float64(0.9636212668661062))","('Research Analyst', np.float64(0.9616207234096771))"
19,"('Zumba Instructor', np.float64(0.898457237675509))","('Inside Sales Manager', np.float64(0.8758438460632155))","('Senior Academic Counselor', np.float64(0.8441256057253433))"
20,"('Associate - Technical Product Manager', np.float64(0.9588440075614978))","('Officer - Business Finance Planning & Analysis', np.float64(0.9477452947631978))","('Officer - Business Finance Planning & Analysis', np.float64(0.9477452947631978))"
21,"('Senior Business Analyst', np.float64(0.9225006263720957))","('Senior Business Analyst', np.float64(0.9225006263720957))","('Senior Business Analyst', np.float64(0.9225006263720957))"
22,"('Embedded Engineer', np.float64(0.9960141539573669))","('Developer', np.float64(0.9330479803113811))","('Developer', np.float64(0.9330479803113811))"
23,"('Engineer II / Site Reliability Engineer', np.float64(0.8694182917685075))","('Head Coach (Head of Health Coaching Practices)', np.float64(0.8692703170386185))","('Frontend Developer', np.float64(0.8457880524930951))"
24,"('Online Space Food Development Internship', np.float64(0.8829445316121352))","('Space Food R&D Internship (Online)', np.float64(0.8799614415308724))","('Team Member - Culinary (Kitchen Staff)', np.float64(0.8439103467168452))"
25,"('Project Manager', np.float64(0.8880847893048469))","('Project Manager', np.float64(0.882906243954813))","('Data Steward', np.float64(0.8503315998074699))"
26,"('Senior Business Manager/Director- Data Analytics', np.float64(0.8692389198735331))","('Zonal Head-North India', np.float64(0.8630794149984204))","('MicroStrategy Developer', np.float64(0.857868869247953))"
27,"('Blockchain Developer', np.float64(0.974199173688789))","('Blockchain Developer', np.float64(0.974199173688789))","('Business Development Manager', np.float64(0.9687034779060502))"
28,"('Actuarial Analyst', np.float64(0.8985698144931759))","('KX Asset Publishing and Content Quality-Analyst', np.float64(0.8962385995105118))","('KX Asset Publishing and Content Quality-Analyst', np.float64(0.8962385995105118))"
29,"('Senior Business Analyst - Salesforce', np.float64(0.8753478225378637))","('Senior Business Analyst - Salesforce', np.float64(0.8753478225378637))","('Azure Data Engineer/Lead', np.float64(0.8721440609741573))"
30,"('Application Manager - Food & Nutrition', np.float64(0.957453220428768))","('E COMMERCE ASSISTANT', np.float64(0.9461260352149559))","('Service Desk Analyst', np.float64(0.9385261990378045))"
31,"('Regulatory Affairs Specialist', np.float64(0.9782103913863424))","('Support Engineer', np.float64(0.9720986455316819))","('Senior Account Analyst', np.float64(0.9716947814049023))"
32,"('Android Developer', np.float64(0.7730518021435259))","('Need a http/2.0+tls streaming proxy fully async implemented in rust.', np.float64(0.7647431472206139))","('Associate Product Manager', np.float64(0.7592507512337232))"
33,"('Anaplan Architect', np.float64(0.9564662065161403))","('Anaplan Architect', np.float64(0.9564662065161403))","('Data Operations & Salesforce Architecture Sr. Manager', np.float64(0.9503859420583591))"
34,"('Data Analyst', np.float64(0.787367254809846))","('Data Analyst', np.float64(0.787367254809846))","('Data Analyst', np.float64(0.787367254809846))"
35,"('IT services Sales/ Client Relationship Management / Strategic Alliances / Account Management', np.float64(0.9756476360829881))","('IT services Sales/ Client Relationship Management / Strategic Alliances / Account Management', np.float64(0.9756476360829881))","('Inside Sales Executive', np.float64(0.9743457572442753))"
36,"('Sales Head', np.float64(0.9032557021054131))","('Business Development Executive', np.float64(0.9024250229319992))","('Sales Business Development Manager', np.float64(0.8970660376487484))"
37,"('Computer Aided Design Designer', np.float64(0.7456040157327185))","('Unreal developer', np.float64(0.7382343147872078))","('Unreal developer', np.float64(0.7382343147872078))"
38,"('Associate Business Analyst', np.float64(0.937451869859748))","('Head of Ecommerce', np.float64(0.9362279011683587))","('Sales Manager', np.float64(0.9283180021054953))"
39,"('Business Development Specialist', np.float64(0.9633584006041869))","('Sailpoint Developer', np.float64(0.9498544492920804))","('Senior Analyst', np.float64(0.9489559924992088))"
40,"('Teacher', np.float64(0.9113094716093618))","('STEM and Robotics Mentor', np.float64(0.8477647560443934))","('STEM and Robotics Mentor', np.float64(0.8477647560443934))"
41,"('Sales Associate', np.float64(0.9738925380744713))","('Copywriter', np.float64(0.9657948784615721))","('Sales Fresher', np.float64(0.9259496725569152))"
42,"('STEM and Robotics Mentor', np.float64(0.8591795227509776))","('STEM and Robotics Mentor', np.float64(0.8591795227509776))","('Elementary School Teacher', np.float64(0.8539236995911812))"
43,"('Android Developer(POS Device)', np.float64(0.9112858224743023))","('Android Developer(POS Device)', np.float64(0.9112858224743023))","('Android Developer(POS Device)', np.float64(0.9112858224743023))"
44,"('Android Developer(POS Device)', np.float64(0.9826291141257685))","('Android Developer(POS Device)', np.float64(0.9826291141257685))","('Android Developer(POS Device)', np.float64(0.9826291141257685))"
45,"('Information Technology (IT) Administrator', np.float64(0.9313746168662012))","('Senior Credit Risk Analyst', np.float64(0.9251217167666363))","('Citrix - Technology Analyst/Lead', np.float64(0.90350510133574))"
46,"('OutSystems Low Code - Immediate Joiners', np.float64(0.9038564115193373))","('OutSystems Low Code - Immediate Joiners', np.float64(0.9038564115193373))","('Work Force Management (WFM)Analyst-Bangalore-Immediate Joiners', np.float64(0.8683988630660895))"
47,"('Financial Analyst – FP&A', np.float64(0.8933726497844418))","('Sr Corporate Tax Analyst (Sales & Use Tax)', np.float64(0.8797945216408299))","('Sr Corporate Tax Analyst (Sales & Use Tax)', np.float64(0.8797945216408299))"
48,"('Senior Data Scientist', np.float64(0.9637598522704829))","('Senior Data Scientist', np.float64(0.9637598522704829))","('Data Scientist', np.float64(0.9633089552154956))"
49,"('Internet of Things Engineer', np.float64(0.7924176791337054))","('Need a http/2.0+tls streaming proxy fully async implemented in rust.', np.float64(0.7918863379291308))","('BPCS Information System Analyst', np.float64(0.7824936788818344))"
50,"('Medical Review Associate', np.float64(0.8732696864248548))","('Medical Review Associate', np.float64(0.8732696864248548))","('Customer Service Specialist', np.float64(0.834149602789312))"
51,"('Marketing Specialist', np.float64(0.9376005553197696))","('Academic Counsellor', np.float64(0.9305424452954985))","('Academic Counsellor', np.float64(0.9305424452954985))"
52,"('Accounts MIS Specialist', np.float64(0.9243545247110794))","('Accounts MIS Specialist', np.float64(0.9243545247110794))","('Senior Power BI', np.float64(0.9157232618573408))"
53,"('Accounting Analyst [T500-5422]', np.float64(0.924419599591889))","('Backoffice Sales Coordinator - ( Electrical )', np.float64(0.9240456356178093))","('Salesperson', np.float64(0.9136518978223372))"
54,"('Salesforce Developer', np.float64(0.9411080676244792))","('Salesforce Developer', np.float64(0.9411080676244792))","('Salesforce Developer', np.float64(0.9411080676244792))"
55,"('C++ Developer', np.float64(0.9539559264124552))","('Sr. Java Developer', np.float64(0.9487134982116101))","('R & D applications support - CONTRACT ROLE', np.float64(0.9484667080896433))"
